  T(s)   V(m/s)   Theta     X(m)     Y(m)
  0.00   500.00   30.00     0.000     0.000
  0.10   491.82   29.90    42.967    24.758
  0.20   483.85   29.80    85.276    49.040
  0.30   476.07   29.70   126.944    72.856
  0.40   468.49   29.60   167.987    96.219
  0.50   461.10   29.49   208.422   119.137
  0.60   453.91   29.38   248.264   141.622
  0.70   446.89   29.28   287.529   163.684
  0.80   440.06   29.17   326.232   185.333
  0.90   433.40   29.05   364.388   206.578
  1.00   426.91   28.94   402.011   227.429
  1.10   420.58   28.82   439.114   247.895
  1.20   414.34   28.70   475.708   267.982
  1.30   408.19   28.58   511.801   287.697
  1.40   402.14   28.46   547.399   307.044
  1.50   396.22   28.34   582.512   326.030
  1.60   390.43   28.21   617.150   344.662
  1.70   384.78   28.08   651.325   362.947
  1.80   379.24   27.95   685.048   380.893
  1.90   373.81   27.82   718.326   398.505
  2.00   368.49   27.69   751.170   415.790
  2.10   363.29   27.55   783.588   432.753
  2.20   358.21   27.41   815.590   449.401
  2.30   353.25   27.27   847.188   465.741
  2.40   348.43   27.13   878.390   481.779
  2.50   343.75   26.99   909.210   497.523
  2.60   339.21   26.84   939.658   512.979
  2.70   334.85   26.69   969.748   528.156
  2.80   330.74   26.54   999.498   543.065
  2.90   326.91   26.39  1028.933   557.717
  3.00   323.35   26.23  1058.075   572.127
  3.10   320.06   26.08  1086.950   586.307
  3.20   316.93   25.92  1115.576   600.266
  3.30   313.94   25.76  1143.966   614.013
  3.40   311.07   25.59  1172.130   627.553
  3.50   308.29   25.43  1200.077   640.890
  3.60   305.59   25.27  1227.815   654.031
  3.70   302.97   25.10  1255.351   666.977
  3.80   300.43   24.93  1282.690   679.734
  3.90   297.97   24.76  1309.840   692.304
  4.00   295.59   24.59  1336.808   704.693
  4.10   293.29   24.41  1363.601   716.903
  4.20   291.05   24.24  1390.223   728.937
  4.30   288.88   24.06  1416.681   740.800
  4.40   286.76   23.88  1442.980   752.493
  4.50   284.70   23.70  1469.125   764.020
  4.60   282.69   23.52  1495.119   775.383
  4.70   280.71   23.34  1520.966   786.584
  4.80   278.78   23.15  1546.670   797.625
  4.90   276.88   22.97  1572.232   808.507
  5.00   275.01   22.78  1597.657   819.233
  5.10   273.18   22.59  1622.946   829.803
  5.20   271.37   22.40  1648.101   840.220
  5.30   269.58   22.21  1673.125   850.485
  5.40   267.82   22.01  1698.019   860.599
  5.50   266.09   21.82  1722.785   870.563
  5.60   264.39   21.62  1747.426   880.378
  5.70   262.71   21.42  1771.944   890.047
  5.80   261.06   21.22  1796.339   899.569
  5.90   259.42   21.02  1820.615   908.947
  6.00   257.81   20.82  1844.772   918.181
  6.10   256.23   20.61  1868.812   927.273
  6.20   254.66   20.41  1892.736   936.223
  6.30   253.11   20.20  1916.547   945.033
  6.40   251.58   19.99  1940.245   953.703
  6.50   250.07   19.78  1963.833   962.235
  6.60   248.59   19.57  1987.310   970.629
  6.70   247.12   19.35  2010.679   978.886
  6.80   245.67   19.14  2033.942   987.008
  6.90   244.24   18.92  2057.098   994.995
  7.00   242.83   18.70  2080.151  1002.849
  7.10   241.44   18.48  2103.101  1010.569
  7.20   240.07   18.26  2125.949  1018.158
  7.30   238.71   18.04  2148.696  1025.615
  7.40   237.37   17.81  2171.345  1032.941
  7.50   236.05   17.59  2193.895  1040.138
  7.60   234.75   17.36  2216.349  1047.207
  7.70   233.46   17.13  2238.706  1054.147
  7.80   232.19   16.90  2260.970  1060.960
  7.90   230.94   16.67  2283.140  1067.647
  8.00   229.71   16.43  2305.218  1074.208
  8.10   228.49   16.20  2327.205  1080.644
  8.20   227.29   15.96  2349.102  1086.956
  8.30   226.11   15.72  2370.911  1093.144
  8.40   224.94   15.48  2392.633  1099.210
  8.50   223.79   15.24  2414.268  1105.153
  8.60   222.66   15.00  2435.818  1110.976
  8.70   221.54   14.75  2457.283  1116.678
  8.80   220.44   14.51  2478.666  1122.260
  8.90   219.36   14.26  2499.967  1127.722
  9.00   218.29   14.01  2521.187  1133.066
  9.10   217.24   13.76  2542.327  1138.292
  9.20   216.19   13.51  2563.387  1143.400
  9.30   215.17   13.25  2584.370  1148.391
  9.40   214.15   13.00  2605.274  1153.266
  9.50   213.15   12.74  2626.102  1158.025
  9.60   212.16   12.48  2646.854  1162.669
  9.70   211.18   12.23  2667.530  1167.198
  9.80   210.21   11.96  2688.132  1171.613
  9.90   209.25   11.70  2708.659  1175.914
 10.00   208.31   11.44  2729.113  1180.101
 10.10   207.38   11.17  2749.494  1184.176
 10.20   206.46   10.91  2769.802  1188.138
 10.30   205.54   10.64  2790.039  1191.989
 10.40   204.64   10.37  2810.205  1195.728
 10.50   203.75   10.10  2830.300  1199.356
 10.60   202.88    9.83  2850.324  1202.873
 10.70   202.01    9.55  2870.280  1206.280
 10.80   201.15    9.28  2890.166  1209.578
 10.90   200.30    9.00  2909.983  1212.766
 11.00   199.46    8.72  2929.733  1215.845
 11.10   198.64    8.44  2949.414  1218.816
 11.20   197.82    8.16  2969.029  1221.678
 11.30   197.01    7.88  2988.578  1224.434
 11.40   196.22    7.60  3008.060  1227.081
 11.50   195.43    7.31  3027.477  1229.622
 11.60   194.66    7.03  3046.829  1232.057
 11.70   193.89    6.74  3066.117  1234.386
 11.80   193.14    6.45  3085.340  1236.608
 11.90   192.40    6.16  3104.500  1238.726
 12.00   191.66    5.87  3123.597  1240.739
 12.10   190.94    5.58  3142.632  1242.647
 12.20   190.22    5.28  3161.604  1244.451
 12.30   189.52    4.99  3180.515  1246.151
 12.40   188.82    4.69  3199.364  1247.748
 12.50   188.14    4.40  3218.153  1249.241
 12.60   187.46    4.10  3236.881  1250.632
 12.70   186.79    3.80  3255.549  1251.921
 12.80   186.14    3.50  3274.158  1253.107
